,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
241,-6,18,210.1,102.4,0.7,107,,,,,,,,,,
242,-6,18,202.4,99.8,0.4,102.3,,,,,,,,,,
243,-6,14,229.2,105.9,0.6,122.8,,,,,,,,,,
244,-6,14,225.5,103.2,0.6,121.7,,,,,,,,,,
245,-6,14,222.5,102.8,0.6,119.1,,,,,,,,,,
246,-6,17,217.7,106.6,0.9,110.2,,,,,,,,,,
247,-6,17,206.7,96.4,0.6,109.7,,,,,,,,,,
248,-6,17,209.8,99.2,1.1,109.4,,,,,,,,,,
249,-6,11,240.1,104.9,0.7,134.4,,,,,,,,,,
250,-6,11,228.2,101.1,0.8,126.4,,,,,,,,,,
251,-6,11,244.3,107.1,0.8,136.4,,,,,,,,,,
252,-6,13,230.1,103.2,0.4,126.4,,,,,,,,,,
253,-6,13,222.5,102.5,0.7,119.3,,,,,,,,,,
254,-6,13,230.1,105,0.4,124.7,,,,,,,,,,
255,-6,2,272.9,103.2,0.6,169.1,,,,,,,,,,
256,-6,2,277.3,105,0.6,171.6,,,,,,,,,,
257,-6,2,270.1,103.5,0.4,166.3,,,,,,,,,,
258,-6,0,282,103.2,0.6,178.3,,,,,,,,,,
259,-6,0,279.9,102.1,0.5,177.2,,,,,,,,,,
260,-6,0,306.2,109.5,0.3,196.4,,,,,,,,,,
261,-6,7,240.2,99.6,0.6,140,,,,,,,,,,
262,-6,7,254.8,104.7,0.6,149.6,,,,,,,,,,
263,-6,7,253.6,104,0.8,148.8,,,,,,,,,,
264,-6,11,240.3,103.9,0.3,136.1,,,,,,,,,,
265,-6,11,238.9,105,0.7,133.2,,,,,,,,,,
266,-6,11,234.1,104,0.5,129.5,,,,,,,,,,
267,-6,8,239.8,102.9,0.7,136.1,,,,,,,,,,
268,-6,8,245,103.3,0.5,141.1,,,,,,,,,,
269,-6,8,248.8,104.1,0.7,144,,,,,,,,,,
270,-6,17,203.2,100.3,0.5,102.4,,,,,,,,,,
271,-6,17,205.3,99,0.8,105.5,,,,,,,,,,
272,-6,17,215.5,101.4,1,113,,,,,,,,,,
273,-6,4,259.7,102.3,0.8,156.6,,,,,,,,,,
274,-6,4,263.6,102.8,0.7,160.1,,,,,,,,,,
275,-6,4,275.3,106.8,0.6,167.9,,,,,,,,,,
276,-6,5,265.2,105.2,0.5,159.5,,,,,,,,,,
277,-6,5,264.9,105.2,0.8,159,,,,,,,,,,
278,-6,5,251,100.7,0.6,149.6,,,,,,,,,,
279,-6,16,222.9,104.2,0.7,117.9,,,,,,,,,,
280,-6,16,213.7,102.5,0.8,110.3,,,,,,,,,,
281,-6,16,213,102.3,0.5,110.2,,,,,,,,,,
282,-6,5,272.3,106.9,0.7,164.7,,,,,,,,,,
283,-6,5,272.2,107.2,0.5,164.4,,,,,,,,,,
284,-6,5,257.1,103,0.5,153.6,,,,,,,,,,
285,-6,17,198.2,98,0.5,99.7,,,,,,,,,,
286,-6,17,202.3,95.8,0.7,105.9,,,,,,,,,,
287,-6,17,221.9,105.6,0.8,115.4,,,,,,,,,,
288,-6,8,250.6,105.9,0.5,144.2,,,,,,,,,,
289,-6,8,256.8,106.6,0.5,149.8,,,,,,,,,,
290,-6,8,233.7,98.3,0.7,134.7,,,,,,,,,,
291,-6,18,203.3,97.1,0.8,105.5,,,,,,,,,,
292,-6,18,209.6,104,0.7,104.8,,,,,,,,,,
293,-6,18,206.4,100.6,0.8,104.9,,,,,,,,,,
294,-6,17,192.2,93.9,0.7,97.5,,,,,,,,,,
295,-6,17,204.9,99.4,0.5,105,,,,,,,,,,
296,-6,17,213.9,99.6,1,113.3,,,,,,,,,,
297,-6,19,214.5,104.7,0.7,109.1,,,,,,,,,,
298,-6,19,195.2,94.9,0.9,99.5,,,,,,,,,,
299,-6,19,193.8,96.8,1.3,95.6,,,,,,,,,,
300,-6,3,276.8,104.7,0.8,171.4,,,,,,,,,,
301,-6,3,275.1,104.6,0.7,169.8,,,,,,,,,,
302,-6,3,274.9,104.9,0.5,169.5,,,,,,,,,,
303,-6,12,221.5,99.8,0.8,120.9,,,,,,,,,,
304,-6,12,243.7,107,0.6,136.1,,,,,,,,,,
305,-6,12,218.9,98.8,0.4,119.7,,,,,,,,,,
306,-6,0,281.1,102.6,0.6,178,,,,,,,,,,
307,-6,0,274.8,100.5,0.6,173.7,,,,,,,,,,
308,-6,0,283.6,104.6,0.5,178.5,,,,,,,,,,
309,-6,8,258.2,108.2,0.7,149.3,,,,,,,,,,
310,-6,8,251.3,106,0.5,144.8,,,,,,,,,,
311,-6,8,238,101.1,0.5,136.4,,,,,,,,,,
312,-6,11,243.2,106.4,0.6,136.3,,,,,,,,,,
313,-6,11,237.8,105.7,0.5,131.5,,,,,,,,,,
314,-6,11,232.1,102.6,0.8,128.7,,,,,,,,,,
315,-6,12,226.8,104,0.4,122.5,,,,,,,,,,
316,-6,12,223.8,100.5,0.3,122.9,,,,,,,,,,
317,-6,12,223.9,100.2,0.6,123.1,,,,,,,,,,
318,-6,9,253.6,106.4,0.8,146.4,,,,,,,,,,
319,-6,9,251.3,107.3,0.6,143.5,,,,,,,,,,
320,-6,9,243.9,103.7,0.5,139.7,,,,,,,,,,
321,-6,19,197.2,95.9,0.8,100.5,,,,,,,,,,
322,-6,19,200.9,98.5,0.9,101.5,,,,,,,,,,
323,-6,19,193,95.6,0.6,96.8,,,,,,,,,,
324,-6,2,270.1,102.2,0.5,167.4,,,,,,,,,,
325,-6,2,273.9,103.4,0.6,170,,,,,,,,,,
326,-6,2,277.9,105.4,0.6,171.9,,,,,,,,,,
327,-6,1,285.6,105.4,0.7,179.5,,,,,,,,,,
328,-6,1,284.3,105.4,0.9,177.9,,,,,,,,,,
329,-6,1,283.6,103.9,0.6,179.1,,,,,,,,,,
330,-6,5,266.4,105.8,0.4,160.1,,,,,,,,,,
331,-6,5,248,100.3,0.8,146.9,,,,,,,,,,
332,-6,5,267.6,105.9,0.6,161.1,,,,,,,,,,
333,-6,13,235.1,106.1,0.5,128.5,,,,,,,,,,
334,-6,13,227.8,102.8,0.5,124.4,,,,,,,,,,
335,-6,13,228,105,0.8,122.1,,,,,,,,,,
336,-6,14,225.1,102.2,0.6,122.2,,,,,,,,,,
337,-6,14,222.8,102.5,0.7,119.6,,,,,,,,,,
338,-6,14,221.9,102.8,0.9,118.2,,,,,,,,,,
339,-6,0,281.3,103.1,0.6,177.6,,,,,,,,,,
340,-6,0,296.8,106.8,0.7,189.3,,,,,,,,,,
341,-6,0,275,100.8,0.7,173.5,,,,,,,,,,
342,-6,7,250.1,102.8,1.1,146.1,,,,,,,,,,
343,-6,7,235,99.3,0.6,135.1,,,,,,,,,,
344,-6,7,248.9,102.2,0.7,146,,,,,,,,,,
345,-6,11,241.5,106.4,0.6,134.6,,,,,,,,,,
346,-6,11,241.5,106,0.5,135,,,,,,,,,,
347,-6,11,238.3,104.8,0.7,132.8,,,,,,,,,,
348,-6,4,277.6,107.3,0.6,169.7,,,,,,,,,,
349,-6,4,265.7,104.3,0.5,160.9,,,,,,,,,,
